gir1.2-polkit-1.0,126-2
gir1.2-rsvg-2.0:amd64,2.60.0+dfsg-1build1
gir1.2-secret-1:amd64,0.21.7-2
gir1.2-snapd-2:amd64,1.70-0ubuntu1
gir1.2-soup-3.0:amd64,3.6.5-4ubuntu0.2
gir1.2-spiceclientglib-2.0:amd64,0.42-4
gir1.2-spiceclientgtk-3.0:amd64,0.42-4
gir1.2-upowerglib-1.0:amd64,1.90.9-5
gir1.2-vte-2.91:amd64,0.80.3-3
gir1.2-webkit2-4.1:amd64,2.50.4-0ubuntu0.25.10.1
gir1.2-wnck-3.0:amd64,43.3-1
git,1:2.51.0-1ubuntu1
git-man,1:2.51.0-1ubuntu1
gjs,1.86.0-1
glib-networking:amd64,2.80.1-1build1
glib-networking-common,2.80.1-1build1
glib-networking-services,2.80.1-1build1
glycin-loaders,2.0.0+ds-1ubuntu2
gnome-accessibility-themes,3.28-4
gnome-bluetooth-3-common,47.1-2
gnome-bluetooth-sendto,47.1-2
gnome-calculator,1:48.0.2-1ubuntu3
gnome-characters,48.0-1
gnome-clocks,48.0-3
gnome-control-center,1:49.0-1ubuntu2
gnome-control-center-data,1:49.0-1ubuntu2
gnome-control-center-faces,1:49.0-1ubuntu2
gnome-desktop3-data,44.4-1
gnome-disk-utility,46.1-2ubuntu1
gnome-font-viewer,48.0-2
gnome-initial-setup,49.0-1ubuntu4
gnome-keyring,48.0-4ubuntu0.2
gnome-keyring-pkcs11:amd64,48.0-4ubuntu0.2
gnome-logs,45.0-1build1
gnome-menus,3.36.0-3ubuntu2
gnome-online-accounts,3.54.5-1
gnome-power-manager,43.0-4
gnome-remote-desktop,49.0-0ubuntu1.1
gnome-session-bin,49.0-1ubuntu2
gnome-session-canberra,0.30-18ubuntu2
gnome-session-common,49.0-1ubuntu2
gnome-settings-daemon,49.0-1ubuntu3
gnome-settings-daemon-common,49.0-1ubuntu3
gnome-shell,49.0-1ubuntu1.2
gnome-shell-common,49.0-1ubuntu1.2
gnome-shell-extension-appindicator,61-2
gnome-shell-extension-desktop-icons-ng,49.0.5-1ubuntu1
gnome-shell-extension-ubuntu-dock,102ubuntu1
gnome-shell-extension-ubuntu-tiling-assistant,53-0ubuntu1
gnome-system-monitor,48.1-2build1
gnome-text-editor,48.3-4
gnome-themes-extra:amd64,3.28-4
gnome-themes-extra-data,3.28-4
gnome-user-docs,49.1-1ubuntu0.1
gnu-coreutils,9.5-1ubuntu4.1
gnuchess,6.2.9-0.1
gnuchess-book,1.02-2.2
gnugo,3.8-13
gnupg,2.4.8-2ubuntu2.1
gnupg-l10n,2.4.8-2ubuntu2.1
gnupg-utils,2.4.8-2ubuntu2.1
gnustep-base-common,1.31.1-4ubuntu1
gnustep-base-runtime,1.31.1-4ubuntu1
gnustep-common,2.9.3-6
gnustep-multiarch:amd64,2.9.3-6
gnutls-bin,3.8.9-3ubuntu2.1
gocryptfs,2.5.1-2
google-chrome-stable,146.0.7680.177-1
gparted,1.6.0-2
gparted-common,1.6.0-2
gpg,2.4.8-2ubuntu2.1
gpg-agent,2.4.8-2ubuntu2.1
gpg-wks-client,2.4.8-2ubuntu2.1
gpgconf,2.4.8-2ubuntu2.1
gpgsm,2.4.8-2ubuntu2.1
gpgv,2.4.8-2ubuntu2.1
granatier,4:25.08.1-0ubuntu1
graphviz,2.42.4-3build2
grep,3.11-4build1
groff-base,1.23.0-9
